Project_ID,Area_Type,Built_Up_Area_sqft,Floors,Wall_Thickness_inches,Roof_Type,Soil_Type,Paint_Type,Flooring,Construction_Quality,Cement_Required_bags,Sand_Required_m3,Aggregate_Required_m3,Steel_Required_kg,Bricks_Required_units,Paint_Required_litres,Total_Material_Cost_INR,Labour_Cost_INR,Total_Construction_Cost_INR
P0001,Urban,1365,2,9.0,RCC Flat Roof,Medium,Premium Acrylic,Ceramic Tiles,Standard,605,35.3,25.2,4847,12748,486,4489662,3052238,7541900
P0002,Rural,1035,2,4.5,RCC Flat Roof,Medium,Standard Acrylic,Mosaic,Basic,461,25.7,20.0,4496,8940,490,2561367,1994438,4555805
P0003,Urban,1337,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,583,33.7,24.5,5666,12086,553,4429102,2800905,7230007
P0004,Urban,1183,1,9.0,RCC Flat Roof,Soft,Premium Acrylic,Ceramic Tiles,Standard,478,31.5,20.1,4708,10948,569,4619278,2842664,7461942
P0005,Semi-Urban,1758,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,756,44.9,28.8,7753,14222,644,7053808,5035025,12088833
P0006,Urban,1692,3,6.0,RCC Flat Roof,Medium,Apex Weather Proof,Italian Marble,Premium,715,38.9,33.8,6313,16726,757,8816980,5965097,14782077
P0007,Urban,1625,2,6.0,RCC Sloped Roof,Medium,Apex Weather Proof,Granite,Premium,642,40.8,29.2,6540,13845,694,6574577,4578771,11153348
P0008,Rural,1176,1,4.5,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,519,27.7,18.4,5161,11655,563,2980437,1916998,4897435
P0009,Semi-Urban,1375,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,543,35.9,21.1,5982,12361,580,4496871,3053986,7550857
P0010,Semi-Urban,1189,2,6.0,Slab Roof,Medium,Premium Acrylic,Ceramic Tiles,Standard,524,31.2,22.8,4990,11129,526,4446622,2901186,7347808
P0011,Urban,1713,2,9.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,651,43.4,32.2,6438,14365,621,8348562,6055791,14404353
P0012,Urban,1047,1,6.0,Metal Sheet Roof,Hard,Standard Acrylic,Ceramic Tiles,Basic,468,25.2,19.0,4640,8590,513,2474746,1641097,4115843
P0013,Urban,966,2,6.0,RCC Flat Roof,Hard,Distemper,Mosaic,Basic,434,25.2,16.6,4006,8876,393,2425474,1875488,4300962
P0014,Semi-Urban,1457,1,6.0,RCC Flat Roof,Soft,Lustre Paint,Imported Vitrified Tiles,Premium,607,39.3,24.0,6323,13908,560,6734585,5124582,11859167
P0015,Semi-Urban,1491,3,9.0,RCC Sloped Roof,Soft,Royal Emulsion,Italian Marble,Premium,599,35.7,27.8,6330,12525,716,8932609,5883573,14816182
P0016,Urban,1426,3,6.0,RCC Sloped Roof,Medium,Royal Emulsion,Imported Vitrified Tiles,Premium,617,36.7,22.3,5037,14034,631,7510891,4846771,12357662
P0017,Urban,1672,2,6.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,673,42.7,28.7,7497,13876,701,6360683,4225857,10586540
P0018,Urban,1315,1,9.0,Slab Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,509,30.8,26.2,4789,11832,582,4801948,3172751,7974699
P0019,Urban,1151,2,9.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,516,26.7,21.3,4973,9302,518,4325680,2684090,7009770
P0020,Urban,1408,3,6.0,RCC Flat Roof,Medium,Apex Weather Proof,Granite,Premium,614,33.8,26.9,5040,13783,608,8819542,5661564,14481106
P0021,Urban,1446,1,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,611,34.7,25.1,6137,14089,600,4300427,3343150,7643577
P0022,Urban,1610,2,9.0,RCC Sloped Roof,Medium,Lustre Paint,Granite,Premium,619,35.7,26.2,6379,15675,739,6108683,3995622,10104305
P0023,Urban,1763,3,9.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,718,45.2,31.7,7568,16413,879,6768389,4961285,11729674
P0024,Urban,1167,2,9.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,462,32.5,18.6,5081,10484,451,4520723,2863123,7383846
P0025,Urban,1233,2,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,496,32.8,19.3,5511,10983,475,4241436,3273380,7514816
P0026,Urban,959,1,4.5,RCC Flat Roof,Medium,Standard Acrylic,Ceramic Tiles,Basic,388,23.3,17.3,3698,8695,448,2722364,1797409,4519773
P0027,Urban,1789,2,6.0,RCC Flat Roof,Hard,Royal Emulsion,Imported Vitrified Tiles,Premium,684,40.7,30.9,7932,15443,762,8055527,6265553,14321080
P0028,Urban,1365,2,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,568,32.8,24.1,4949,11282,507,4922872,3063757,7986629
P0029,Semi-Urban,1278,2,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,573,31.0,19.3,4785,12347,613,4341199,2821182,7162381
P0030,Urban,1688,2,9.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,660,43.3,28.0,7370,16857,781,7903311,6074240,13977551
P0031,Urban,1247,2,6.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,511,33.6,19.5,5043,9990,497,4137414,2971695,7109109
P0032,Urban,1715,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,671,44.3,32.2,6860,15580,845,8232361,5244974,13477335
P0033,Rural,1552,2,9.0,RCC Flat Roof,Medium,Royal Emulsion,Granite,Premium,678,40.8,30.7,5460,13023,544,8425098,5643733,14068831
P0034,Semi-Urban,1152,1,4.5,RCC Flat Roof,Hard,Distemper,Ceramic Tiles,Basic,479,30.0,22.6,4645,10554,418,2559066,1684415,4243481
P0035,Urban,1039,1,4.5,RCC Flat Roof,Hard,Distemper,Ceramic Tiles,Basic,402,26.4,16.9,4636,9316,489,2951265,2025459,4976724
P0036,Urban,1072,1,6.0,RCC Flat Roof,Medium,Standard Acrylic,Ceramic Tiles,Basic,420,25.9,20.9,4577,9769,416,2678534,1954617,4633151
P0037,Semi-Urban,1566,2,6.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,675,42.6,25.2,5630,12602,698,8502567,5753304,14255871
P0038,Urban,1477,2,6.0,RCC Flat Roof,Hard,Royal Emulsion,Granite,Premium,607,36.4,27.5,5192,12823,698,6653358,4506377,11159735
P0039,Urban,1258,1,6.0,Slab Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,509,28.2,22.1,4488,12077,484,4683238,3222286,7905524
P0040,Semi-Urban,1449,1,6.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,624,35.9,22.2,5886,14367,545,4601239,3049637,7650876
P0041,Urban,1557,2,9.0,RCC Flat Roof,Medium,Royal Emulsion,Imported Vitrified Tiles,Premium,617,38.0,24.5,6994,15342,671,7740892,4938245,12679137
P0042,Urban,1380,2,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,546,33.2,23.3,5307,11699,588,4646706,2976879,7623585
P0043,Urban,1710,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Granite,Premium,697,43.2,31.0,7138,15501,783,8363392,6348543,14711935
P0044,Urban,1092,1,4.5,RCC Flat Roof,Medium,Standard Acrylic,Ceramic Tiles,Basic,477,24.9,21.1,4829,9799,481,2919616,1899118,4818734
P0045,Urban,1789,1,9.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,748,49.7,30.7,6819,16122,744,7086514,5426315,12512829
P0046,Semi-Urban,1403,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,580,37.2,25.4,5327,12431,526,4073293,3142744,7216037
P0047,Semi-Urban,1662,2,6.0,RCC Flat Roof,Soft,Apex Weather Proof,Granite,Premium,667,42.8,29.3,6525,13730,802,6648765,4678171,11326936
P0048,Urban,1241,2,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,507,33.2,22.2,5188,10398,549,4268953,3098805,7367758
P0049,Semi-Urban,1330,2,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,584,30.0,23.2,4854,11503,612,4490308,3138990,7629298
P0050,Urban,1441,3,9.0,RCC Sloped Roof,Medium,Lustre Paint,Granite,Premium,591,33.9,27.7,5098,14126,604,7162262,4810118,11972380
P0051,Semi-Urban,1149,1,6.0,RCC Flat Roof,Soft,Distemper,Mosaic,Basic,472,25.6,17.5,4878,10706,540,2772213,2122904,4895117
P0052,Urban,1181,1,4.5,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,463,26.7,21.6,5036,10074,417,2547033,1961546,4508579
P0053,Rural,1053,1,4.5,RCC Flat Roof,Hard,Distemper,Ceramic Tiles,Basic,447,26.5,16.0,4705,10106,414,2658013,1637431,4295444
P0054,Semi-Urban,1044,1,6.0,RCC Flat Roof,Hard,Distemper,Ceramic Tiles,Basic,403,25.3,18.5,4059,8693,408,2821393,1761029,4582422
P0055,Semi-Urban,1262,2,6.0,Slab Roof,Soft,Premium Acrylic,Ceramic Tiles,Standard,501,33.5,21.8,5479,11934,588,4492904,3003143,7496047
P0056,Urban,1184,1,6.0,Metal Sheet Roof,Hard,Distemper,Ceramic Tiles,Basic,529,29.5,18.7,4549,10450,549,2747947,1797078,4545025
P0057,Semi-Urban,1422,2,9.0,RCC Flat Roof,Medium,Lustre Paint,Italian Marble,Premium,541,33.4,26.5,6387,11658,583,6402074,4127579,10529653
P0058,Urban,1783,3,9.0,RCC Flat Roof,Hard,Royal Emulsion,Granite,Premium,783,48.2,34.2,6260,16936,826,7674232,5101192,12775424
P0059,Semi-Urban,1469,3,9.0,RCC Flat Roof,Hard,Royal Emulsion,Imported Vitrified Tiles,Premium,619,35.8,25.1,6163,11761,650,8260607,5949244,14209851
P0060,Semi-Urban,1518,3,9.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,582,37.8,27.3,6227,12213,604,6260024,4204928,10464952
P0061,Urban,1225,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,493,30.1,18.9,4557,11265,563,4770394,2925020,7695414
P0062,Rural,1597,2,9.0,RCC Flat Roof,Hard,Apex Weather Proof,Italian Marble,Premium,670,40.8,25.4,6167,13844,565,7418361,5794464,13212825
P0063,Semi-Urban,1030,2,6.0,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,424,25.6,17.7,4570,9694,458,2405698,1867372,4273070
P0064,Rural,1429,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,608,39.6,21.9,5083,12238,556,4546465,3362924,7909389
P0065,Rural,1735,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,664,44.6,30.9,6672,14973,808,6357054,4890676,11247730
P0066,Urban,1352,2,6.0,Slab Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,582,37.7,22.0,5616,11351,587,4545411,3187037,7732448
P0067,Rural,1560,1,6.0,RCC Flat Roof,Medium,Royal Emulsion,Granite,Premium,605,42.4,29.0,5565,14688,673,7367831,5674805,13042636
P0068,Urban,1034,1,6.0,RCC Flat Roof,Hard,Standard Acrylic,Ceramic Tiles,Basic,447,24.6,19.6,3734,9008,513,2725078,1759618,4484696
P0069,Urban,1676,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,740,45.6,27.1,6622,16709,780,6570446,5128440,11698886
